,start,end,text,words,speaker,cleaned_text,tokens,lemmatized_tokens
10,68.974,71.735,"And, for once, I was the first to arrive.","[{'word': 'And,', 'start': 68.974, 'end': 69.154, 'score': 0.602, 'speaker': 'SPEAKER_03'}, {'word': 'for', 'start': 69.334, 'end': 69.454, 'score': 0.985, 'speaker': 'SPEAKER_03'}, {'word': 'once,', 'start': 69.594, 'end': 69.814, 'score': 0.592, 'speaker': 'SPEAKER_03'}, {'word': 'I', 'start': 70.414, 'end': 70.594, 'score': 0.691, 'speaker': 'SPEAKER_03'}, {'word': 'was', 'start': 70.654, 'end': 70.795, 'score': 0.876, 'speaker': 'SPEAKER_03'}, {'word': 'the', 'start': 70.815, 'end': 70.895, 'score': 0.822, 'speaker': 'SPEAKER_03'}, {'word': 'first', 'start': 70.935, 'end': 71.175, 'score': 0.836, 'speaker': 'SPEAKER_03'}, {'word': 'to', 'start': 71.215, 'end': 71.315, 'score': 0.834, 'speaker': 'SPEAKER_03'}, {'word': 'arrive.', 'start': 71.375, 'end': 71.735, 'score': 0.93, 'speaker': 'SPEAKER_03'}]",May,and for once i was the first to arrive,"['first', 'arrive']","['first', 'arrive']"
11,75.069,77.35," Now, as you'd expect, I've done this properly.","[{'word': 'Now,', 'start': 75.069, 'end': 75.229, 'score': 0.954, 'speaker': 'SPEAKER_03'}, {'word': 'as', 'start': 75.309, 'end': 75.369, 'score': 0.788, 'speaker': 'SPEAKER_03'}, {'word': ""you'd"", 'start': 75.389, 'end': 75.529, 'score': 0.933, 'speaker': 'SPEAKER_03'}, {'word': 'expect,', 'start': 75.569, 'end': 75.949, 'score': 0.858, 'speaker': 'SPEAKER_03'}, {'word': ""I've"", 'start': 76.149, 'end': 76.31, 'score': 0.794, 'speaker': 'SPEAKER_03'}, {'word': 'done', 'start': 76.35, 'end': 76.53, 'score': 0.737, 'speaker': 'SPEAKER_03'}, {'word': 'this', 'start': 76.59, 'end': 76.75, 'score': 0.848, 'speaker': 'SPEAKER_03'}, {'word': 'properly.', 'start': 76.91, 'end': 77.35, 'score': 0.611, 'speaker': 'SPEAKER_03'}]",May, now as youd expect ive done this properly,"['youd', 'expect', 'ive', 'done', 'properly']","['expect', 've', 'do', 'properly']"
12,77.45,92.156,"What I've got is a 1985 Mercedes-Benz 230e, a car that Africa absolutely adores, because it's comfortable, it's rugged, it's dependable, and frankly, if the other two have brought anything other than one of these along, they're idiots.","[{'word': 'What', 'start': 77.45, 'end': 77.61, 'score': 0.81, 'speaker': 'SPEAKER_03'}, {'word': ""I've"", 'start': 77.65, 'end': 77.77, 'score': 0.543, 'speaker': 'SPEAKER_03'}, {'word': 'got', 'start': 77.81, 'end': 78.03, 'score': 0.854, 'speaker': 'SPEAKER_03'}, {'word': 'is', 'start': 78.21, 'end': 78.33, 'score': 0.631, 'speaker': 'SPEAKER_03'}, {'word': 'a', 'start': 78.41, 'end': 78.45, 'score': 0.949, 'speaker': 'SPEAKER_03'}, {'word': '1985'}, {'word': 'Mercedes-Benz', 'start': 78.51, 'end': 81.051, 'score': 0.546, 'speaker': 'SPEAKER_03'}, {'word': '230e,', 'start': 81.332, 'end': 81.492, 'score': 0.823, 'speaker': 'SPEAKER_03'}, {'word': 'a', 'start': 81.732, 'end': 81.792, 'score': 0.981, 'speaker': 'SPEAKER_03'}, {'word': 'car', 'start': 81.892, 'end': 82.152, 'score': 0.947, 'speaker': 'SPEAKER_03'}, {'word': 'that', 'start': 82.172, 'end': 82.352, 'score': 0.408, 'speaker': 'SPEAKER_03'}, {'word': 'Africa', 'start': 82.432, 'end': 82.792, 'score': 0.748, 'speaker': 'SPEAKER_03'}, {'word': 'absolutely', 'start': 82.992, 'end': 83.593, 'score': 0.854, 'speaker': 'SPEAKER_03'}, {'word': 'adores,', 'start': 83.713, 'end': 84.273, 'score': 0.862, 'speaker': 'SPEAKER_03'}, {'word': 'because', 'start': 84.533, 'end': 84.793, 'score': 0.904, 'speaker': 'SPEAKER_03'}, {'word': ""it's"", 'start': 84.853, 'end': 84.953, 'score': 0.893, 'speaker': 'SPEAKER_03'}, {'word': 'comfortable,', 'start': 85.013, 'end': 85.493, 'score': 0.869, 'speaker': 'SPEAKER_03'}, {'word': ""it's"", 'start': 85.893, 'end': 86.014, 'score': 0.817, 'speaker': 'SPEAKER_03'}, {'word': 'rugged,', 'start': 86.154, 'end': 86.534, 'score': 0.895, 'speaker': 'SPEAKER_03'}, {'word': ""it's"", 'start': 86.654, 'end': 86.774, 'score': 0.817, 'speaker': 'SPEAKER_03'}, {'word': 'dependable,', 'start': 86.834, 'end': 87.534, 'score': 0.866, 'speaker': 'SPEAKER_03'}, {'word': 'and', 'start': 87.714, 'end': 87.794, 'score': 0.91, 'speaker': 'SPEAKER_03'}, {'word': 'frankly,', 'start': 87.914, 'end': 88.415, 'score': 0.884, 'speaker': 'SPEAKER_03'}, {'word': 'if', 'start': 88.715, 'end': 88.775, 'score': 0.857, 'speaker': 'SPEAKER_03'}, {'word': 'the', 'start': 88.795, 'end': 88.875, 'score': 0.832, 'speaker': 'SPEAKER_03'}, {'word': 'other', 'start': 88.895, 'end': 89.035, 'score': 0.869, 'speaker': 'SPEAKER_03'}, {'word': 'two', 'start': 89.055, 'end': 89.135, 'score': 0.986, 'speaker': 'SPEAKER_03'}, {'word': 'have', 'start': 89.175, 'end': 89.255, 'score': 0.976, 'speaker': 'SPEAKER_03'}, {'word': 'brought', 'start': 89.295, 'end': 89.475, 'score': 0.959, 'speaker': 'SPEAKER_03'}, {'word': 'anything', 'start': 89.515, 'end': 89.795, 'score': 0.882, 'speaker': 'SPEAKER_03'}, {'word': 'other', 'start': 90.035, 'end': 90.275, 'score': 0.877, 'speaker': 'SPEAKER_03'}, {'word': 'than', 'start': 90.375, 'end': 90.495, 'score': 0.868, 'speaker': 'SPEAKER_03'}, {'word': 'one', 'start': 90.535, 'end': 90.635, 'score': 0.69, 'speaker': 'SPEAKER_03'}, {'word': 'of', 'start': 90.655, 'end': 90.715, 'score': 0.744, 'speaker': 'SPEAKER_03'}, {'word': 'these', 'start': 90.755, 'end': 90.956, 'score': 0.863, 'speaker': 'SPEAKER_03'}, {'word': 'along,', 'start': 91.016, 'end': 91.256, 'score': 0.982, 'speaker': 'SPEAKER_03'}, {'word': ""they're"", 'start': 91.576, 'end': 91.736, 'score': 0.524, 'speaker': 'SPEAKER_03'}, {'word': 'idiots.', 'start': 91.776, 'end': 92.156, 'score': 0.946, 'speaker': 'SPEAKER_03'}]",May,what ive got is a  mercedesbenz e a car that africa absolutely adores because its comfortable its rugged its dependable and frankly if the other two have brought anything other than one of these along theyre idiots,"['ive', 'got', 'mercedesbenz', 'car', 'africa', 'absolutely', 'adores', 'comfortable', 'rugged', 'dependable', 'frankly', 'two', 'brought', 'anything', 'one', 'along', 'theyre', 'idiots']","['ve', 'get', 'absolutely', 'adore', 'comfortable', 'rugged', 'dependable', 'frankly', 'bring', 're', 'idiot']"
13,93.937,95.497,The first idiot arrived.,"[{'word': 'The', 'start': 93.937, 'end': 94.037, 'score': 0.99, 'speaker': 'SPEAKER_03'}, {'word': 'first', 'start': 94.077, 'end': 94.397, 'score': 0.82, 'speaker': 'SPEAKER_03'}, {'word': 'idiot', 'start': 94.557, 'end': 94.957, 'score': 0.922, 'speaker': 'SPEAKER_03'}, {'word': 'arrived.', 'start': 95.257, 'end': 95.497, 'score': 0.196, 'speaker': 'SPEAKER_03'}]",May,the first idiot arrived,"['first', 'idiot', 'arrived']","['first', 'idiot', 'arrive']"
14,95.557,99.119,Can you open the door?,"[{'word': 'Can', 'start': 95.557, 'end': 95.738, 'score': 0.403, 'speaker': 'SPEAKER_03'}, {'word': 'you', 'start': 98.379, 'end': 98.479, 'score': 0.288, 'speaker': 'SPEAKER_03'}, {'word': 'open', 'start': 98.559, 'end': 98.719, 'score': 0.522, 'speaker': 'SPEAKER_03'}, {'word': 'the', 'start': 98.739, 'end': 98.819, 'score': 0.96, 'speaker': 'SPEAKER_03'}, {'word': 'door?', 'start': 98.859, 'end': 99.119, 'score': 0.953, 'speaker': 'SPEAKER_03'}]",May,can you open the door,"['open', 'door']","['open', 'door']"
15,99.299,100.179,The handle's broken.,"[{'word': 'The', 'start': 99.299, 'end': 99.379, 'score': 0.966, 'speaker': 'SPEAKER_03'}, {'word': ""handle's"", 'start': 99.419, 'end': 99.759, 'score': 0.772, 'speaker': 'SPEAKER_03'}, {'word': 'broken.', 'start': 99.819, 'end': 100.179, 'score': 0.9, 'speaker': 'SPEAKER_05'}]",May,the handles broken,"['handles', 'broken']","['handle', 'break']"
16,100.86,102.06,It is a Lancia Beta.,"[{'word': 'It', 'start': 100.86, 'end': 100.96, 'score': 0.246, 'speaker': 'SPEAKER_05'}, {'word': 'is', 'start': 101.0, 'end': 101.06, 'score': 0.679, 'speaker': 'SPEAKER_05'}, {'word': 'a', 'start': 101.12, 'end': 101.16, 'score': 0.552, 'speaker': 'SPEAKER_05'}, {'word': 'Lancia', 'start': 101.2, 'end': 101.62, 'score': 0.769, 'speaker': 'SPEAKER_05'}, {'word': 'Beta.', 'start': 101.66, 'end': 102.06, 'score': 0.806, 'speaker': 'SPEAKER_05'}]",Clarkson,it is a lancia beta,"['lancia', 'beta']",['beta']
17,102.22,102.44,"Coupé, 1981.","[{'word': 'Coupé,', 'start': 102.22, 'end': 102.44, 'score': 0.855, 'speaker': 'SPEAKER_05'}, {'word': '1981.'}]",Clarkson,coup ,['coup'],['coup']
18,104.969,108.392, The only Lancia of any sort in the whole of Botswana.,"[{'word': 'The', 'start': 104.969, 'end': 105.069, 'score': 0.989, 'speaker': 'SPEAKER_05'}, {'word': 'only', 'start': 105.309, 'end': 105.65, 'score': 0.866, 'speaker': 'SPEAKER_05'}, {'word': 'Lancia', 'start': 105.73, 'end': 106.31, 'score': 0.736, 'speaker': 'SPEAKER_05'}, {'word': 'of', 'start': 106.63, 'end': 106.711, 'score': 0.83, 'speaker': 'SPEAKER_05'}, {'word': 'any', 'start': 106.771, 'end': 106.951, 'score': 0.924, 'speaker': 'SPEAKER_05'}, {'word': 'sort', 'start': 107.031, 'end': 107.331, 'score': 0.901, 'speaker': 'SPEAKER_05'}, {'word': 'in', 'start': 107.371, 'end': 107.431, 'score': 0.748, 'speaker': 'SPEAKER_05'}, {'word': 'the', 'start': 107.451, 'end': 107.511, 'score': 0.996, 'speaker': 'SPEAKER_05'}, {'word': 'whole', 'start': 107.531, 'end': 107.671, 'score': 0.897, 'speaker': 'SPEAKER_05'}, {'word': 'of', 'start': 107.691, 'end': 107.751, 'score': 0.734, 'speaker': 'SPEAKER_05'}, {'word': 'Botswana.', 'start': 107.791, 'end': 108.392, 'score': 0.878, 'speaker': 'SPEAKER_05'}]",Clarkson, the only lancia of any sort in the whole of botswana,"['lancia', 'sort', 'whole', 'botswana']","['sort', 'whole', 'botswana']"
19,108.652,111.054,"It's done 29,000 miles.","[{'word': ""It's"", 'start': 108.652, 'end': 109.333, 'score': 0.8, 'speaker': 'SPEAKER_05'}, {'word': 'done', 'start': 109.393, 'end': 110.273, 'score': 0.682, 'speaker': 'SPEAKER_05'}, {'word': '29,000'}, {'word': 'miles.', 'start': 110.734, 'end': 111.054, 'score': 0.878, 'speaker': 'SPEAKER_05'}]",Clarkson,its done  miles,"['done', 'miles']","['do', 'mile']"
20,112.455,113.076,"One owner, is it?","[{'word': 'One', 'start': 112.455, 'end': 112.555, 'score': 0.713, 'speaker': 'SPEAKER_05'}, {'word': 'owner,', 'start': 112.615, 'end': 112.836, 'score': 0.907, 'speaker': 'SPEAKER_05'}, {'word': 'is', 'start': 112.876, 'end': 112.956, 'score': 0.78, 'speaker': 'SPEAKER_05'}, {'word': 'it?', 'start': 113.036, 'end': 113.076, 'score': 0.998, 'speaker': 'SPEAKER_05'}]",Clarkson,one owner is it,"['one', 'owner']",['owner']
